id,problem,solution,answer,difficulty,dataset
middle_13,Solve for x: 7x + 7 = 73,"7x + 7 = 73
7x = 73 - 7
x = (73 - 7) / 7
x = 9.428571428571429",9.428571428571429,middle,local_math
middle_14,Find the area of a rectangle with length 12 and width 3,"Area = length × width
Area = 12 × 3
Area = 36",36,middle,local_math
middle_15,Solve for x: 3x + 9 = 70,"3x + 9 = 70
3x = 70 - 9
x = (70 - 9) / 3
x = 20.333333333333332",20.333333333333332,middle,local_math
middle_16,What is 20% of 115?,20% of 115 = (20/100) × 115 = 23.0,23.0,middle,local_math
middle_17,Find the area of a rectangle with length 18 and width 13,"Area = length × width
Area = 18 × 13
Area = 234",234,middle,local_math
middle_18,Find the area of a rectangle with length 13 and width 11,"Area = length × width
Area = 13 × 11
Area = 143",143,middle,local_math
middle_19,What is 25% of 169?,25% of 169 = (25/100) × 169 = 42.25,42.25,middle,local_math
college_0,Find the limit of (x² - 8)/(x - 2) as x approaches 2,"Using L'Hôpital's rule:
lim(x→2) (x² - 8)/(x - 2)
= lim(x→2) 2x/1
= 2(2) = 8",8,college,local_math
college_1,Find the limit of (x² - 7)/(x - 5) as x approaches 5,"Using L'Hôpital's rule:
lim(x→5) (x² - 7)/(x - 5)
= lim(x→5) 2x/1
= 2(5) = 7",7,college,local_math
college_2,Find the limit of (x² - 16)/(x - 2) as x approaches 2,"Using L'Hôpital's rule:
lim(x→2) (x² - 16)/(x - 2)
= lim(x→2) 2x/1
= 2(2) = 16",16,college,local_math
college_3,Find the limit of (x² - 10)/(x - 2) as x approaches 2,"Using L'Hôpital's rule:
lim(x→2) (x² - 10)/(x - 2)
= lim(x→2) 2x/1
= 2(2) = 10",10,college,local_math
college_4,Find the derivative of f(x) = 3x² + 5x + 7,"f'(x) = 2(3)x + 5
f'(x) = 6x + 5",6,college,local_math
college_5,Find the limit of (x² - 18)/(x - 5) as x approaches 5,"Using L'Hôpital's rule:
lim(x→5) (x² - 18)/(x - 5)
= lim(x→5) 2x/1
= 2(5) = 18",18,college,local_math
college_6,Find the derivative of f(x) = 3x² + 9x + 20,"f'(x) = 2(3)x + 9
f'(x) = 6x + 9",6,college,local_math
college_7,Calculate the integral of ∫(4x + 9)dx,"∫(4x + 9)dx = (4/2)x² + 9x + C
= 2.0x² + 9x + C",2.0,college,local_math
college_8,Calculate the integral of ∫(2x + 5)dx,"∫(2x + 5)dx = (2/2)x² + 5x + C
= 1.0x² + 5x + C",1.0,college,local_math
college_9,Find the derivative of f(x) = 1x² + 1x + 6,"f'(x) = 2(1)x + 1
f'(x) = 2x + 1",2,college,local_math
college_10,Find the derivative of f(x) = 3x² + 3x + 4,"f'(x) = 2(3)x + 3
f'(x) = 6x + 3",6,college,local_math
college_11,Calculate the integral of ∫(3x + 5)dx,"∫(3x + 5)dx = (3/2)x² + 5x + C
= 1.5x² + 5x + C",1.5,college,local_math
college_12,Find the limit of (x² - 12)/(x - 4) as x approaches 4,"Using L'Hôpital's rule:
lim(x→4) (x² - 12)/(x - 4)
= lim(x→4) 2x/1
= 2(4) = 12",12,college,local_math
college_13,Find the derivative of f(x) = 4x² + 3x + 15,"f'(x) = 2(4)x + 3
f'(x) = 8x + 3",8,college,local_math
college_14,Calculate the integral of ∫(2x + 9)dx,"∫(2x + 9)dx = (2/2)x² + 9x + C
= 1.0x² + 9x + C",1.0,college,local_math
college_15,Calculate the integral of ∫(4x + 1)dx,"∫(4x + 1)dx = (4/2)x² + 1x + C
= 2.0x² + 1x + C",2.0,college,local_math
college_16,Find the limit of (x² - 5)/(x - 3) as x approaches 3,"Using L'Hôpital's rule:
lim(x→3) (x² - 5)/(x - 3)
= lim(x→3) 2x/1
= 2(3) = 5",5,college,local_math
college_17,Find the derivative of f(x) = 2x² + 10x + 14,"f'(x) = 2(2)x + 10
f'(x) = 4x + 10",4,college,local_math
college_18,Find the limit of (x² - 25)/(x - 4) as x approaches 4,"Using L'Hôpital's rule:
lim(x→4) (x² - 25)/(x - 4)
= lim(x→4) 2x/1
= 2(4) = 25",25,college,local_math
college_19,Calculate the integral of ∫(4x + 3)dx,"∫(4x + 3)dx = (4/2)x² + 3x + C
= 2.0x² + 3x + C",2.0,college,local_math
